Full Name,Last Name,First Name,Sholar link,Citations,h-index,i10-index,t10-index,University,"Rank (Full, Associate, Assistant, Other)",UniversityID,
"Ye, Yuzhen",Ye,Yuzhen,https://scholar.google.com/citations?user=fH_ea0kAAAAJ&hl=en,7415,30,42,132,Indiana University - Bloomington  ,Associate,35,
"Henry, Ryan",Henry,Ryan,https://scholar.google.com/citations?user=kj6ctNwAAAAJ&hl=en,168,7,5,4,Indiana University - Bloomington  ,Assistant,35,
"Huang, Yan",Huang,Yan,https://scholar.google.com/citations?user=frfxU98AAAAJ&hl=en,948,13,13,36,Indiana University - Bloomington  ,Assistant,35,
"Izquierdo, Eduardo",Izquierdo,Eduardo,https://scholar.google.com/citations?user=KWCQjl0AAAAJ&hl=en,296,10,10,10,Indiana University - Bloomington  ,Assistant,35,
"Newton, Ryan",Newton,Ryan,https://scholar.google.com/citations?user=Bp6dm-oAAAAJ&hl=en,1894,15,21,50,Indiana University - Bloomington  ,Assistant,35,
"Qian, Feng",Qian,Feng,https://scholar.google.com/citations?user=-ExSBb0AAAAJ&hl=en,1806,16,16,53,Indiana University - Bloomington  ,Assistant,35,
"Ryoo, Michael S.",Ryoo,Michael S.,https://scholar.google.com/citations?user=vcw0TJIAAAAJ&hl=en,2939,18,23,52,Indiana University - Bloomington  ,Assistant,35,
"Shan, Chung-chieh",Shan,Chung-chieh,https://scholar.google.com/citations?user=3L1yQeQAAAAJ&hl=en,1545,21,41,46,Indiana University - Bloomington  ,Assistant,35,
"Tobin-Hochstadt, Sam",Tobin-Hochstadt,Sam,https://scholar.google.com/citations?user=vMSSQbAAAAAJ&hl=en,1259,14,20,27,Indiana University - Bloomington  ,Assistant,35,
"White, Martha",White,Martha,https://scholar.google.com/citations?user=t5zdD_IAAAAJ&hl=en,194,8,7,7,Indiana University - Bloomington  ,Assistant,35,
"Williamson, Donald",Williamson,Donald,https://scholar.google.com/citations?user=Rs6wWLQAAAAJ&hl=en,82,4,3,3,Indiana University - Bloomington  ,Assistant,35,
"Yaroslavtsev, Grigory",Yaroslavtsev,Grigory,https://scholar.google.com/citations?user=AbRFE3IAAAAJ&hl=en,346,11,12,16,Indiana University - Bloomington  ,Assistant,35,
"Zhang, Qin",Zhang,Qin,https://scholar.google.com/citations?user=VzESVx0AAAAJ&hl=en,959,14,15,35,Indiana University - Bloomington  ,Assistant,35,
"Zhou, Yuan",Zhou,Yuan,NA,NaN,NaN,NaN,NaN,Indiana University - Bloomington  ,Assistant,35,
"Aduri, Pavan",Aduri,Pavan,https://scholar.google.com/citations?user=4QIV0FUAAAAJ&hl=en&oi=ao,566,14,22,17,Iowa State University  ,Full,36,
"Basu, Samik",Basu,Samik,https://scholar.google.com/citations?user=qa9dTwkAAAAJ&hl=en&oi=ao,1793,22,50,41,Iowa State University  ,Full,36,
"Chang, Carl K.",Chang,Carl K.,https://scholar.google.com/citations?user=0IHc9DUAAAAJ&hl=en&oi=ao,4194,22,57,55,Iowa State University  ,Full,36,
"Ciardo, Gianfranco",Ciardo,Gianfranco,https://scholar.google.com/citations?user=8rmks2cAAAAJ&hl=en&oi=ao,6790,43,89,152,Iowa State University  ,Full,36,
"Eulenstein, Oliver",Eulenstein,Oliver,https://scholar.google.com/citations?user=HWF6UxgAAAAJ&hl=en&oi=ao,1670,24,43,57,Iowa State University  ,Full,36,
"Fernandez-Baca, David",Fernandez-Baca,David,https://scholar.google.com/citations?user=38ev4xkAAAAJ&hl=en&oi=ao,1734,19,39,36,Iowa State University  ,Full,36,
"Huang, Xiaoqiu",Huang,Xiaoqiu,https://scholar.google.com/citations?user=h5gEfxsAAAAJ&hl=en&oi=ao,30582,48,730,303,Iowa State University  ,Full,36,
"Jia, Yan-Bin",Jia,Yan-Bin,NA,NaN,NaN,NaN,16,Iowa State University  ,Full,36,
"Lutz, Jack",Lutz,Jack,https://scholar.google.com/citations?user=mxv3BeAAAAAJ&hl=en&oi=ao,2864,30,55,74,Iowa State University  ,Full,36,
"Lutz, Robin",Lutz,Robin,https://scholar.google.com/citations?user=sdVfpyQAAAAJ&hl=en&oi=sra,2637,28,53,64,Iowa State University  ,Full,36,
"Rajan, Hridesh",Rajan,Hridesh,https://scholar.google.com/citations?user=aiFvpucAAAAJ&hl=en&oi=ao,2053,23,44,43,Iowa State University  ,Full,36,
"Slutzki, Giora",Slutzki,Giora,NA,NaN,NaN,NaN,32,Iowa State University  ,Full,36,
"Tavanapong, Wallapak",Tavanapong,Wallapak,https://scholar.google.com/citations?user=Pnev7hAAAAAJ&hl=en,1560,18,38,30,Iowa State University  ,Full,36,
"Wong, Johnny",Wong,Johnny,NA,NaN,NaN,NaN,NaN,Iowa State University  ,Full,36,
"Cai, Ying",Cai,Ying,https://scholar.google.com/citations?user=N3Jc1zMAAAAJ&hl=en&oi=ao,3978,25,63,82,Iowa State University  ,Associate,36,
"Chaudhuri, Soma",Chaudhuri,Soma,https://scholar.google.com/citations?user=uTqQopAAAAAJ&hl=en&oi=ao,1138,13,16,26,Iowa State University  ,Associate,36,
"Gadia, Shashi",Gadia,Shashi,NA,NaN,NaN,NaN,41,Iowa State University  ,Associate,36,
"Miner, Andrew S.",Miner,Andrew S.,NA,NaN,NaN,NaN,NaN,Iowa State University  ,Associate,36,
"Prabhu, Gurpur",Prabhu,Gurpur,NA,NaN,NaN,NaN,2,Iowa State University  ,Associate,36,
"Ruan, Lu",Ruan,Lu,NA,NaN,NaN,NaN,37,Iowa State University  ,Associate,36,
"Song, Guang",Song,Guang,https://scholar.google.com/citations?user=YLCXL-kAAAAJ&hl=en&oi=ao,1691,20,26,63,Iowa State University  ,Associate,36,
"Tian, Jin",Tian,Jin,NA,NaN,NaN,NaN,NaN,Iowa State University  ,Associate,36,
"Zhang, Wensheng",Zhang,Wensheng,https://scholar.google.com/citations?user=VvXgoAYAAAAJ&hl=en&oi=ao,16137,48,326,121,Iowa State University  ,Associate,36,
"Brabanter, Kris De",Brabanter,Kris De,NA,NaN,NaN,NaN,11,Iowa State University  ,Assistant,36,
"Le, Wie",Le,Wie,NA,NaN,NaN,NaN,0,Iowa State University  ,Assistant,36,
"Rozier, Eric W.",Rozier,Eric W.,NA,NaN,NaN,NaN,NaN,Iowa State University  ,Assistant,36,
"Sheaffer, Jeremy",Sheaffer,Jeremy,NA,NaN,NaN,NaN,27,Iowa State University  ,Assistant,36,
Yair Amir,Amir,Yair,NA,NaN,NaN,NaN,147,Johns Hopkins University  ,Full,37,
Randal Burns,Burns,Randal,https://scholar.google.com/citations?user=rTJTJJ4AAAAJ&hl=en&oi=ao,6813,38,76,159,Johns Hopkins University  ,Full,37,
Jason Eisner,Eisner,Jason,https://scholar.google.com/citations?user=tjb2UccAAAAJ&hl=en&oi=ao,10155,40,84,143,Johns Hopkins University  ,Full,37,
Gregory D. Hager,Hager,Gregory,https://scholar.google.com/citations?user=ivApfKcAAAAJ&hl=en&oi=ao,17048,53,192,277,Johns Hopkins University  ,Full,37,
Philipp Koehn,Koehn,Philipp,https://scholar.google.com/citations?user=OsIZgIYAAAAJ&hl=en&oi=ao,18997,45,101,516,Johns Hopkins University  ,Full,37,
S. Rao Kosaraju,Kosaraju,S.,NA,NaN,NaN,NaN,86,Johns Hopkins University  ,Full,37,
Aviel Rubin,Rubin,Aviel,https://scholar.google.com/citations?user=KWez2_sAAAAJ&hl=en&oi=ao,11944,40,71,301,Johns Hopkins University  ,Full,37,
Steven Salzberg,Salzberg,Steven,https://scholar.google.com/citations?user=sUVeH-4AAAAJ&hl=en&oi=ao,115707,118,239,2118,Johns Hopkins University  ,Full,37,
Scott Smith,Smith,Scott,https://scholar.google.com/citations?user=bRjJOrMAAAAJ&hl=en&oi=ao,5161,29,43,93,Johns Hopkins University  ,Full,37,
Alex Szalay,Szalay,Alex,https://scholar.google.com/citations?user=rUiWchkAAAAJ,69492,99,249,1389,Johns Hopkins University  ,Full,37,
Russell H. Taylor,Taylor,Russell,https://scholar.google.com/citations?user=Ph16U5wAAAAJ&hl=en&oi=ao,22163,66,272,465,Johns Hopkins University  ,Full,37,
David Yarowsky,Yarowsky,David,https://scholar.google.com/citations?user=gaO-vS4AAAAJ&hl=en&oi=ao,11041,40,72,264,Johns Hopkins University  ,Full,37,
Alan Yuille,Yuille,Alan,https://scholar.google.com/citations?user=FJ-huxgAAAAJ&hl=en,27133,77,223,503,Johns Hopkins University  ,Full,37,
Michael Kazhdan,Kazhdan,Michael,https://scholar.google.com/citations?user=soUq_eQAAAAJ&hl=en&oi=ao,8216,29,37,125,Johns Hopkins University  ,Associate,37,
Michael Schatz,Schatz,Michael,https://scholar.google.com/citations?user=rcs6IKwAAAAJ&hl=en,12781,43,66,418,Johns Hopkins University  ,Associate,37,
Yanif Ahmad,Ahmad,Yanif,https://scholar.google.com/citations?user=BtpxluIAAAAJ&hl=en&oi=ao,1881,12,16,14,Johns Hopkins University  ,Assistant,37,
Raman Arora,Arora,Raman,NA,NaN,NaN,NaN,13,Johns Hopkins University  ,Assistant,37,
Alexis Battle,Battle,Alexis,https://scholar.google.com/citations?user=yPOT9K0AAAAJ&hl=en&oi=ao,4644,20,27,65,Johns Hopkins University  ,Assistant,37,
Vladimir Braverman,Braverman,Vladimir,https://scholar.google.com/citations?user=DTthB48AAAAJ&hl=en&oi=ao,372,11,14,15,Johns Hopkins University  ,Assistant,37,
Michael Dinitz,Dinitz,Michael,https://scholar.google.com/citations?user=Q2yN84AAAAAJ&hl=en&oi=ao,496,12,14,13,Johns Hopkins University  ,Assistant,37,
Matthew Green,Green,Matthew,https://scholar.google.com/citations?user=X0XWAGkAAAAJ&hl=en&oi=ao,3569,22,33,105,Johns Hopkins University  ,Assistant,37,
Abhishek Jain,Jain,Abhishek,https://scholar.google.com/citations?user=xjkmJsgAAAAJ&hl=en&oi=ao,1206,16,23,33,Johns Hopkins University  ,Assistant,37,
Benjamin Langmead,Langmead,Benjamin,https://scholar.google.com/citations?user=2JMaTKsAAAAJ&hl=en,16094,17,20,137,Johns Hopkins University  ,Assistant,37,
Xin Li,Li,Xin,NA,NaN,NaN,NaN,NaN,Johns Hopkins University  ,Assistant,37,
Suchi Saria,Saria,Suchi,NA,NaN,NaN,NaN,15,Johns Hopkins University  ,Assistant,37,
Ilya Shpitser,Shpitser,Ilya,NA,NaN,NaN,NaN,33,Johns Hopkins University  ,Assistant,37,
Benjamin Van Durme,Van Durme,Benjamin,https://scholar.google.com/citations?user=wIujAJoAAAAJ,1961,25,51,46,Johns Hopkins University  ,Assistant,37,
"Andresen, Daniel A.",Andresen,Daniel A.,https://scholar.google.com/citations?user=egs3G64AAAAJ&hl=en&oi=sra,1340,19,29,39,Kansas State University  ,Full,38,
"Deloach, Scott A.",Deloach,Scott A.,https://scholar.google.com/citations?user=Zbbxb-gAAAAJ&hl=en,3669,30,61,79,Kansas State University  ,Full,38,
"Hatcliff, John",Hatcliff,John,https://scholar.google.com/citations?user=B56JLs0AAAAJ&hl=en,5328,36,67,108,Kansas State University  ,Full,38,
"Mizuno, Masaaki",Mizuno,Masaaki,NA,NaN,NaN,NaN,NaN,Kansas State University  ,Full,38,
"Neilsen, Mitch",Neilsen,Mitch,NA,NaN,NaN,NaN,0,Kansas State University  ,Full,38,
Robby,Robby,,https://scholar.google.com/citations?user=j5aiHcsAAAAJ&hl=en&oi=ao,3436,24,36,81,Kansas State University  ,Full,38,
"Singh, Gurdip",Singh,Gurdip,NA,NaN,NaN,NaN,NaN,Kansas State University  ,Full,38,
"Amtoft, Torben",Amtoft,Torben,NA,NaN,NaN,NaN,30,Kansas State University  ,Associate,38,
"Caragea, Doina",Caragea,Doina,https://scholar.google.com/citations?user=GuO4UhsAAAAJ&hl=en,1734,23,43,47,Kansas State University  ,Associate,38,
"Howell, Rod",Howell,Rod,NA,NaN,NaN,NaN,35,Kansas State University  ,Associate,38,
"Hsu, Bill",Hsu,Bill,https://scholar.google.com/citations?user=JQoJRcIAAAAJ&hl=en,1328,17,31,43,Kansas State University  ,Associate,38,
"Ou, Xinming (Simon)",Ou,Xinming (Simon),https://scholar.google.com/citations?user=faldcbwAAAAJ&hl=en,2169,21,34,55,Kansas State University  ,Associate,38,
"Vasserman, Eugene",Vasserman,Eugene,https://scholar.google.com/citations?user=cEBIS9oAAAAJ&hl=en,580,10,10,10,Kansas State University  ,Associate,38,
"Prabhakar, Pavithra",Prabhakar,Pavithra,https://scholar.google.com/citations?user=og6bNK0qJtkC&hl=en,353,12,15,16,Kansas State University  ,Assistant,38,
"Ranganath, Venkatesh P",Ranganath,Venkatesh P,https://scholar.google.com/citations?user=efsT3ykAAAAJ&hl=en,881,14,16,34,Kansas State University  ,Assistant,38,
"Bansal, Arvind K.",Bansal,Arvind K.,https://scholar.google.com/citations?user=LcDL4RsAAAAJ&hl=en&oi=sra,545,11,11,11,Kent State University  ,Full,39,
"Dragan, Feodor F.",Dragan,Feodor F.,https://scholar.google.com/citations?user=U74_kMcAAAAJ&hl=en&oi=ao,2065,28,60,42,Kent State University  ,Full,39,
"Farrell, Paul A.",Farrell,Paul A.,NA,NaN,NaN,NaN,NaN,Kent State University  ,Full,39,
"Khan, Javed",Khan,Javed,NA,NaN,NaN,NaN,NaN,Kent State University  ,Full,39,
"Lu, Cheng Chang",Lu,Cheng Chang,NA,NaN,NaN,NaN,NaN,Kent State University  ,Full,39,
"Maletic, Jonathan I.",Maletic,Jonathan I.,https://scholar.google.com/citations?user=n9_W4kYAAAAJ&hl=en&oi=ao,5256,35,72,130,Kent State University  ,Full,39,
"Melton, Austin",Melton,Austin,NA,NaN,NaN,NaN,45,Kent State University  ,Full,39,
"Nesterenko, Mikhail",Nesterenko,Mikhail,https://scholar.google.com/citations?user=GjcGFa4AAAAJ&hl=en&oi=ao,2557,19,27,39,Kent State University  ,Full,39,
"Peyravi, Hassan",Peyravi,Hassan,NA,NaN,NaN,NaN,2,Kent State University  ,Full,39,
"Ruttan, Arden",Ruttan,Arden,NA,NaN,NaN,NaN,0,Kent State University  ,Full,39,
"Guercio, Angela",Guercio,Angela,NA,NaN,NaN,NaN,4,Kent State University  ,Associate,39,
"Jin, Ruoming",Jin,Ruoming,https://scholar.google.com/citations?user=lNQmMTMAAAAJ&hl=en&oi=ao,2999,31,60,77,Kent State University  ,Associate,39,
"Samba, Augustine",Samba, Augustine GUS,NA,NaN,NaN,NaN,0,Kent State University  ,Associate,39,
"Volkert, L. Gwenn",Volkert,L. Gwenn,NA,NaN,NaN,NaN,2,Kent State University  ,Associate,39,
"Zhao, Ye",Zhao,Ye,NA,NaN,NaN,NaN,NaN,Kent State University  ,Associate,39,
"Foreback, Dianne R.",Foreback,Dianne R.,https://scholar.google.com/citations?user=KLexhgsAAAAJ&hl=en&oi=sra,9,1,0,0,Kent State University  ,Assistant,39,
"Ghazinour, Kambiz",Ghazinour,Kambiz,https://scholar.google.com/citations?user=S5Dabo0AAAAJ&hl=en&oi=ao,133,7,5,4,Kent State University  ,Assistant,39,
"Lian, Xiang",Lian,Xiang,https://scholar.google.com/citations?user=xvrh8YMAAAAJ&hl=en&oi=ao,1751,21,33,44,Kent State University  ,Assistant,39,
"Sharma, Gokarna P.",Sharma,Gokarna P.,https://scholar.google.com/citations?user=PnmtA3wAAAAJ&hl=en&oi=sra,189,7,5,6,Kent State University  ,Assistant,39,
"Chuah, Mooi",Chuah,Mooi,https://scholar.google.com/citations?user=SZBKvksAAAAJ&hl=en&oi=ao,7785,45,107,191,Lehigh University  ,Full,41,
"Korth, Hank",Korth,Hank,https://scholar.google.com/citations?user=4VLZdawAAAAJ&hl=en&oi=ao,13620,46,91,329,Lehigh University  ,Full,41,
"Lopresti, Daniel",Lopresti,Daniel,NA,NaN,NaN,NaN,120,Lehigh University  ,Full,41,
"Munoz-Avila, Hector",Munoz-Avila,Hector,https://scholar.google.com/citations?user=I7Sfx5sAAAAJ&hl=en&oi=ao,3260,30,65,71,Lehigh University  ,Full,41,
"Chen, Brian",Chen,Brian,https://scholar.google.com/citations?user=CrqkG-4AAAAJ&hl=en,735,14,16,23,Lehigh University  ,Associate,41,
"Cheng, Liang",Cheng,Liang,https://scholar.google.com/citations?user=V4hEeboAAAAJ&hl=en,3402,20,45,43,Lehigh University  ,Associate,41,
"Davison, Brian",Davison,Brian,https://scholar.google.com/citations?user=wk3PBXn5pgoJ&hl=en&oi=ao,5616,39,76,132,Lehigh University  ,Associate,41,
"Heflin, Jeff",Heflin,Jeff,https://scholar.google.com/citations?user=IKKQHqkAAAAJ&hl=en&oi=ao,4616,24,39,182,Lehigh University  ,Associate,41,
"Huang, Xiaolei",Huang,Xiaolei,https://scholar.google.com/citations?user=iTtzc1UAAAAJ&hl=en&oi=ao,3509,24,47,66,Lehigh University  ,Associate,41,
"Spear, Michael",Spear,Michael,https://scholar.google.com/citations?user=xEZlTrIAAAAJ&hl=en&oi=ao,2241,24,33,67,Lehigh University  ,Associate,41,
"Spletzer, John",Spletzer,John,https://scholar.google.com/citations?user=mWhnaCkAAAAJ&hl=en&oi=ao,2678,19,31,73,Lehigh University  ,Associate,41,
"Baumer, Eric",Baumer,Eric,https://scholar.google.com/citations?user=rnLD7z0AAAAJ&hl=en,978,14,20,25,Lehigh University  ,Assistant,41,
"Cao, Yinkzhi",Cao,Yinkzhi,NA,NaN,NaN,NaN,NaN,Lehigh University  ,Assistant,41,
"Wang, Ting",Wang,Ting,https://scholar.google.com/citations?user=cjKmjvgAAAAJ&hl=en&oi=ao,858,13,17,14,Lehigh University  ,Assistant,41,
"Xie, Sihong",Xie,Sihong,https://scholar.google.com/citations?user=qRp1xZwAAAAJ&hl=en&oi=ao,471,9,9,9,Lehigh University  ,Assistant,41,
"Zhang, Miaomiao",Zhang,Miaomiao,NA,NaN,NaN,NaN,NaN,Lehigh University  ,Assistant,41,
"Dorchak, Susan Fife",Dorchak,Susan Fife,NA,NaN,NaN,NaN,0,LIU Post  ,Full,40,
"Regazzi, John J.",Regazzi,John J.,NA,NaN,NaN,NaN,0,LIU Post  ,Full,40,
"Heim, Steven",Heim,Steven,NA,NaN,NaN,NaN,NaN,LIU Post  ,Associate,40,
"Malinowski, Christopher",Malinowski,Christopher,NA,NaN,NaN,NaN,0,LIU Post  ,Associate,40,
"Carver, Doris",Carver,Doris,NA,NaN,NaN,NaN,21,Louisiana State University - Baton Rouge  ,Full,42,
"Karki, Bijaya",Karki,Bijaya,https://scholar.google.com/citations?user=PVKPY-IAAAAJ&hl=en&oi=sra,3892,29,51,131,Louisiana State University - Baton Rouge  ,Full,42,
"Park, Seung-Jong",Park,Seung-Jong,https://scholar.google.com/citations?user=AEJSH4UAAAAJ&hl=en&oi=ao,1292,15,19,28,Louisiana State University - Baton Rouge  ,Full,42,
"Triantaphyllou, Evangelos",Triantaphyllou,Evangelos,https://scholar.google.com/citations?user=kZDreZsAAAAJ&hl=en&oi=ao,5275,28,51,122,Louisiana State University - Baton Rouge  ,Full,42,
"Baumgartner, Gerald",Baumgartner,Gerald,https://scholar.google.com/citations?user=pno6BrMAAAAJ&hl=en&oi=ao,1787,27,40,52,Louisiana State University - Baton Rouge  ,Associate,42,
"Busch, Konstantin",Busch,Konstantin,NA,NaN,NaN,NaN,0,Louisiana State University - Baton Rouge  ,Associate,42,
"Chen, Jianhua",Chen,Jianhua,NA,NaN,NaN,NaN,NaN,Louisiana State University - Baton Rouge  ,Associate,42,
"Kundu, Sukhamay",Kundu,Sukhamay,NA,NaN,NaN,NaN,18,Louisiana State University - Baton Rouge  ,Associate,42,
"Mukhopadhyay, Supratik",Mukhopadhyay,Supratik,NA,NaN,NaN,NaN,NaN,Louisiana State University - Baton Rouge  ,Associate,42,
"Shah, Rahul",Shah,Rahul,https://scholar.google.com/citations?user=ZpkdT2UAAAAJ&hl=en&oi=ao,2073,22,44,58,Louisiana State University - Baton Rouge  ,Associate,42,
"Ullmer, Brygg",Ullmer,Brygg,https://scholar.google.com/citations?user=JxG7a6sAAAAJ&hl=en&oi=ao,11893,29,39,258,Louisiana State University - Baton Rouge  ,Associate,42,
"Whaley, Clint",Whaley,Clint,NA,NaN,NaN,NaN,42,Louisiana State University - Baton Rouge  ,Associate,42,
"Zhang, Jian",Zhang,Jian,NA,NaN,NaN,NaN,NaN,Louisiana State University - Baton Rouge  ,Associate,42,
"Chen, Feng",Chen,Feng,NA,NaN,NaN,NaN,NaN,Louisiana State University - Baton Rouge  ,Assistant,42,
"Kooima, Robert",Kooima,Robert,https://scholar.google.com/citations?user=OcIwjtEAAAAJ&hl=en&oi=ao,455,12,13,17,Louisiana State University - Baton Rouge  ,Assistant,42,
"Lee, Kisung",Lee,Kisung,NA,NaN,NaN,NaN,NaN,Louisiana State University - Baton Rouge  ,Assistant,42,
"Mahmoud, Anas",Mahmoud,Anas,https://scholar.google.com/citations?user=t6_z3zYAAAAJ&hl=en&oi=ao,188,7,7,6,Louisiana State University - Baton Rouge  ,Assistant,42,
"Sun, Mingxuan",Sun,Mingxuan,NA,NaN,NaN,NaN,NaN,Louisiana State University - Baton Rouge  ,Assistant,42,
"Wang, Qingywang",Wang,Qingywang,NA,NaN,NaN,NaN,0,Louisiana State University - Baton Rouge  ,Assistant,42,
"Dua, Sumeet",Dua,Sumeet,NA,NaN,NaN,NaN,13,Louisiana Tech University  ,Full,43,
"O'Neal, Michael",O'Neal,Michael,NA,NaN,NaN,NaN,NaN,Louisiana Tech University  ,Full,43,
"Turner, Galen",Turner,Galen,NA,NaN,NaN,NaN,0,Louisiana Tech University  ,Full,43,
"Choi, Ben",Choi,Ben,NA,NaN,NaN,NaN,NaN,Louisiana Tech University  ,Associate,43,
"Gourd, Jean",Gourd,Jean,NA,NaN,NaN,NaN,0,Louisiana Tech University  ,Associate,43,
"Leangsuksun, Chokchai",Leangsuksun,Chokchai,NA,NaN,NaN,NaN,29,Louisiana Tech University  ,Associate,43,
Hal Abelson,Abelson,Hal,NA,NaN,NaN,NaN,17,Massachusetts Institute of Technology  ,Full,44,
Anant Agarwal,Agarwal,Anant,NA,NaN,NaN,NaN,361,Massachusetts Institute of Technology  ,Full,44,
Saman Amarasinghe,Amarasinghe,Saman,https://scholar.google.com/citations?user=cF6i_goAAAAJ&hl=en&oi=ao,15250,57,113,384,Massachusetts Institute of Technology  ,Full,44,
Dimitri A. Antoniadis,Antoniadis,Dimitri,NA,NaN,NaN,NaN,134,Massachusetts Institute of Technology  ,Full,44,
Arvind,Arvind,Arvind,NA,NaN,NaN,NaN,NaN,Massachusetts Institute of Technology  ,Full,44,
Hari Balakrishnan,Balakrishnan,Hari,https://scholar.google.com/citations?user=Qf4bw4UAAAAJ&hl=en&oi=ao,95688,100,211,1392,Massachusetts Institute of Technology  ,Full,44,
Bonnie A. Berger,Berger,Bonnie,https://scholar.google.com/citations?user=qMOS01AAAAAJ&hl=en,10647,51,127,223,Massachusetts Institute of Technology  ,Full,44,
Tim Berners-Lee,Berners-Lee,Tim,NA,NaN,NaN,NaN,836,Massachusetts Institute of Technology  ,Full,44,
Robert C. Berwick,Berwick,Robert,NA,NaN,NaN,NaN,104,Massachusetts Institute of Technology  ,Full,44,
Duane S. Boning,Boning,Duane,https://scholar.google.com/citations?user=oIdI_PcAAAAJ&hl=en,5063,37,106,119,Massachusetts Institute of Technology  ,Full,44,
Louis D. Braida,Braida,Louis,NA,NaN,NaN,NaN,153,Massachusetts Institute of Technology  ,Full,44,
Anantha Chandrakasan,Chandrakasan,Anantha,NA,NaN,NaN,NaN,836,Massachusetts Institute of Technology  ,Full,44,
Fernando CorbatÌ_,CORBATO,F.,NA,NaN,NaN,NaN,68,Massachusetts Institute of Technology  ,Full,44,
Randall Davis,Davis,Randall,NA,NaN,NaN,NaN,417,Massachusetts Institute of Technology  ,Full,44,
Erik Demaine,Demaine,Erik,https://scholar.google.com/citations?user=6Ff2c8wAAAAJ,13677,59,246,185,Massachusetts Institute of Technology  ,Full,44,
Srini Devadas,Devadas,Srini,https://scholar.google.com/citations?user=-yrzguMAAAAJ&hl=en&oi=ao,19723,71,226,364,Massachusetts Institute of Technology  ,Full,44,
Fredo Durand,Durand,Fredo,https://scholar.google.com/citations?user=NJ9c4ygAAAAJ&hl=en&oi=ao,17067,62,152,383,Massachusetts Institute of Technology  ,Full,44,
William Freeman,Freeman,William,https://scholar.google.com/citations?user=0zZnyMEAAAAJ&hl=en&oi=ao,45507,85,187,1042,Massachusetts Institute of Technology  ,Full,44,
David Gifford,Gifford,David,NA,NaN,NaN,NaN,1118,Massachusetts Institute of Technology  ,Full,44,
Shafrira Goldwasser,Goldwasser,Shafrira,NA,NaN,NaN,NaN,475,Massachusetts Institute of Technology  ,Full,44,
Polina Golland,Golland,Polina,https://scholar.google.com/citations?user=E130CB8AAAAJ&hl=en&oi=ao,6328,40,81,128,Massachusetts Institute of Technology  ,Full,44,
W. Eric L. Grimson,Grimson,Eric,https://scholar.google.com/citations?user=zZ0-4SUAAAAJ,34351,68,158,739,Massachusetts Institute of Technology  ,Full,44,
John Guttag,Guttag,John,NA,NaN,NaN,NaN,306,Massachusetts Institute of Technology  ,Full,44,
Frederick Hennie III,Hennie III,Frederick,NA,NaN,NaN,NaN,NaN,Massachusetts Institute of Technology  ,Full,44,
Berthold Horn,Horn,Berthold,https://scholar.google.com/citations?user=uWsBKQ0AAAAJ&hl=en&oi=ao,38604,53,114,749,Massachusetts Institute of Technology  ,Full,44,
Piotr Indyk,Indyk,Piotr,https://scholar.google.com/citations?user=oOwNKsAAAAAJ&hl=en&oi=ao,21721,61,139,329,Massachusetts Institute of Technology  ,Full,44,
Tommi Jaakkola,Jaakkola,Tommi,NA,NaN,NaN,NaN,514,Massachusetts Institute of Technology  ,Full,44,
Daniel Jackson,Jackson,Daniel,NA,NaN,NaN,NaN,NaN,Massachusetts Institute of Technology  ,Full,44,
Patrick Jaillet,Jaillet,Patrick,https://scholar.google.com/citations?user=ND0FM6EAAAAJ&hl=en&oi=ao,5164,29,55,178,Massachusetts Institute of Technology  ,Full,44,
M. Frans Kaashoek,Kaashoek,M.Frans,https://scholar.google.com/citations?user=YCoLskoAAAAJ&hl=en,47108,79,159,770,Massachusetts Institute of Technology  ,Full,44,
Leslie Kaelbling,Kaelbling,Leslie,NA,NaN,NaN,NaN,326,Massachusetts Institute of Technology  ,Full,44,
David Karger,Karger,David,https://scholar.google.com/citations?user=2vQRGrYAAAAJ&hl=en&oi=ao,51910,87,203,711,Massachusetts Institute of Technology  ,Full,44,
Dina Katabi,Katabi,Dina,https://scholar.google.com/citations?user=nst5fHgAAAAJ&hl=en&oi=ao,16520,52,91,377,Massachusetts Institute of Technology  ,Full,44,
Manolis Kellis,Kellis,Manolis,https://scholar.google.com/citations?user=lsYXBx8AAAAJ&hl=en&oi=ao,40942,76,131,1343,Massachusetts Institute of Technology  ,Full,44,
Charles Leiserson,Leiserson,Charles,https://scholar.google.com/citations?user=gWBoNCsAAAAJ&hl=en&oi=ao,62501,53,120,697,Massachusetts Institute of Technology  ,Full,44,
Barbara Liskov,Liskov,Barbara,NA,NaN,NaN,NaN,551,Massachusetts Institute of Technology  ,Full,44,
Andrew Lo,Lo,Andrew,NA,NaN,NaN,NaN,833,Massachusetts Institute of Technology  ,Full,44,
Tomas Lozano-Perez,Lozano-Perez,Tomas,https://scholar.google.com/citations?user=gQOKAggAAAAJ&hl=en&oi=ao,19175,48,104,614,Massachusetts Institute of Technology  ,Full,44,
Nancy Lynch,Lynch,Nancy,https://scholar.google.com/citations?user=LPTkkxUAAAAJ,30495,72,242,453,Massachusetts Institute of Technology  ,Full,44,
Samuel Madden,Madden,Samuel,https://scholar.google.com/citations?user=a1ngrCIAAAAJ&hl=en&oi=ao,34821,75,169,780,Massachusetts Institute of Technology  ,Full,44,
