University Name,CS Score,CS rank,Web,University Rank,University Score,ID,Department,College,Affiliated,Comments about inclusion
Pennsylvania State University—​University Park  ,3.4,29,http://www.eecs.psu.edu/,50,62,67,EECS,Engineering,"Within, clearly annotated","EECS department, included all people listed as CSE faculty, removed a few EE faculty"
Portland State University  ,0,0,https://www.pdx.edu/computer-science/,0,0,68,CS,Engineering & CS,No,
Princeton University  ,4.4,8,https://www.cs.princeton.edu/,1,100,69,CS,No,Outside,affiliated not included
Purdue University—​West Lafayette  ,3.7,20,https://www.cs.purdue.edu/,60,59,70,CS,Science,Outside,affiliated not included
Rensselaer Polytechnic Institute  ,2.9,52,https://science.rpi.edu/computer-science,39,64,71,CS,Science,Outside,affiliated not included
Rice University  ,3.7,20,http://www.cs.rice.edu/,15,85,72,CS,Engineering,Outside,affiliated not included
Rutgers - The State University of New Jersey—​New Brunswick  ,3.3,34,https://www.cs.rutgers.edu/,70,56,73,CS,Arts&Sciences,Outside,affiliated not included
Southern Methodist University  ,2,112,http://www.smu.edu/Lyle/Departments/CSE,56,60,74,CSE,Engineering,No,"CSE department with a single faculty list, included all but 3"
Stanford University  ,5,1,https://cs.stanford.edu/,5,95,75,CS,Engineering,Outside,affiliated not included
Stevens Institute of Technology  ,2.1,101,https://www.stevens.edu/schaefer-school-engineering-science/departments/computer-science,71,55,76,CS,Engineering & Science,No,
Stony Brook University—​SUNY  ,3.1,40,https://www.cs.stonybrook.edu/,96,49,77,CS,Engineering and Applied Sci,Outside,affiliated not included
Syracuse University  ,2.5,67,http://eng-cs.syr.edu/our-departments/electrical-engineering-and-computer-science/,60,59,78,EECS,Engineering & CS,No,we manually selected CS faculty from the list
Temple University  ,2,112,https://cis.temple.edu/,118,44,79,CIS,Science,No,
Texas A&M University—​College Station  ,3.1,40,https://engineering.tamu.edu/cse/,74,54,80,CSE,Engineering,Outside,affiliated not included; all but 1 CE faculty are in distributed/parallel area so we removed only one VLSI faculty
Texas Tech University  ,0,0,http://www.depts.ttu.edu/cs/faculty/,176,32,81,CS,Engineering,No,
Towson University  ,0,0,http://www.towson.edu/fcsm/departments/computerinfosci/,51,61,82,CIS,CIS,No,
Tufts University  ,2.4,70,http://www.cs.tufts.edu/,27,74,83,CS,Engineering,Outside,affiliated not included
University at Albany—​SUNY  ,2.1,101,http://www.albany.edu/computer-science/,146,38,84,CS,Engineering & Science,Outside,affiliated not included
University at Buffalo—​SUNY  ,2.6,63,http://engineering.buffalo.edu/computer-science-engineering.html,99,48,85,CSE,?,Outside,affiliated not included; only 1 VLSI faculty excluded
University of Alabama  ,0,0,http://cs.ua.edu/,103,47,86,CS,Engineering,Within,affiliated included
University of Alabama—​Birmingham  ,0,0,http://www.uab.edu/cas/computerscience/,159,36,87,CIS,Science & Arts,Outside,affiliated not included
University of Alabama—​Huntsville  ,0,0,http://www.uah.edu/science/departments/computer-science/,197,28,88,CS,Science,No,
University of Arizona  ,3.1,40,https://www.cs.arizona.edu/,124,43,89,CS,Science,Outside,affiliated not included
University of Arkansas—​Fayetteville  ,0,0,http://computer-science-and-computer-engineering.uark.edu/,135,40,90,CSE,Engineering,No,
University of Arkansas—​Little Rock  ,0,0,http://ualr.edu/computerscience/,0,0,91,CS,?,Outside,affiliated not included
University of California—​Berkeley  ,5,1,https://cs.berkeley.edu/,20,78,92,EECS,Engineering,No,"EECS department, excluded clearly EE people included others"
University of California—​Davis  ,3.3,34,http://www.cs.ucdavis.edu/,44,63,93,CS,Engineering,No,
University of California—​Irvine  ,3.4,29,https://www.ics.uci.edu/,39,64,94,CS,Informatics & CS,No,
University of California—​Los Angeles  ,4.1,13,http://www.cs.ucla.edu/,24,75,95,CS,Engineering,"Within, clearly annotated",affiliated included
University of California—​Riverside  ,2.8,56,http://www1.cs.ucr.edu/,118,44,96,CSE,Engineering,Outside,"affiliated not included; CSE department with a single faculty list, all of them are CS-related, included all of them"
University of California—​San Diego  ,4,15,http://www.cs.ucsd.edu/,44,63,97,CSE,Engineering,"Within, clearly annotated","affiliated included; CSE department with a single faculty list,excluded a few VLSI faculty"
University of California—​Santa Barbara  ,3.3,34,https://www.cs.ucsb.edu/,37,65,98,CS,Engineering,Outside,affiliated not included
University of California—​Santa Cruz  ,2.8,56,https://www.soe.ucsc.edu/departments/computer-science/,79,53,99,CS,Engineering,No,
University of Central Florida  ,2.2,90,http://www.cs.ucf.edu/,176,32,100,CS,?,Within,affiliated included
University of Chicago  ,3.3,34,https://www.cs.uchicago.edu/,3,97,101,CS,No,"Within, clearly annotated","affiliated included, including listed faculty from Toyota Technological Institute"
University of Cincinnati  ,2,112,http://eecs.ceas.uc.edu/,135,40,102,EE and Computing Systems,Engineering & CS,No,we manually selected CS faclulty from the list
University of Colorado—​Boulder  ,3.1,40,http://www.colorado.edu/cs/,92,50,103,CS,Engineering and Applied Sci,Outside,affiliated not included
University of Colorado—​Colorado Springs  ,0,0,https://www.uccs.edu/~cs/,39,43,104,CS,?,No,
University of Colorado—​Denver  ,0,0,http://www.ucdenver.edu/academics/colleges/Engineering/Programs/Computer-Science-and-Engineering/Pages/ComputerScienceEngineering.aspx,197,28,105,CSE,Engineering & Applied Science,No,"CSE department with a single faculty list, all of them are CS-related, included all of them"
University of Connecticut  ,2.3,82,http://www.cse.uconn.edu/,60,59,106,CSE,Engineering,No,"CSE department with a single faculty list, all of them are CS-related, included all of them"
University of Delaware  ,2.4,70,http://www.cis.udel.edu/,79,53,107,CIS,Engineering,No,
University of Denver,0,0,https://ritchieschool.du.edu/departments/computer-science/,86,51,108,CS,Engineering & CS,Outside,affiliated not included
University of Florida  ,3,48,https://www.cise.ufl.edu/,50,62,109,CISE,Engineering,No,"CISE department with a single faculty list, all of them are CS-related, included all of them"
University of Georgia  ,2.2,90,http://www.cs.uga.edu/,56,60,110,CS,Arts&Sciences,No,
University of Hawaii—​Manoa  ,0,0,http://www.ics.hawaii.edu/,169,34,111,ICS,?,No,included computer science faculty
University of Houston  ,2.1,101,http://www.uh.edu/nsm/computer-science/,194,29,112,CS,Natural Sciences & Applied Mathmatics,Outside,affiliated not included
University of Idaho  ,0,0,https://www.uidaho.edu/engr/departments/cs/,171,33,113,CS,?,No,
University of Illinois—​Chicago  ,2.7,60,https://www.cs.uic.edu/,152,37,114,CS,Engineering,No,
University of Illinois—​Urbana-​Champaign  ,4.6,5,https://cs.illinois.edu/,44,63,115,CS,Engineering,Outside,affiliated not included; 46 faculty they list as 'affiliates' are mostly from ECE
University of Iowa  ,2.6,63,https://cs.uiowa.edu/,82,52,116,CS,Liberal Arts & Sci,Outside,affiliated not included
University of Kansas  ,2.3,82,http://www.eecs.ku.edu/,118,44,117,EECS,Engineering,"Within, clearly annotated","EECS department with a single list, we manually selected CS faculty"
University of Kentucky  ,2.2,90,http://www.cs.uky.edu/,133,41,118,CS,Engineering,No,
University of Louisiana—​Lafayette  ,0,0,http://computing.louisiana.edu/,0,0,119,CS,Computing & Informatics,No,
University of Louisville  ,0,0,http://louisville.edu/speed/computer/,171,33,120,CECS,Engineering,No,"CECS department with a single faculty list, all of them are CS-related, included all of them"
University of Maine  ,0,0,https://umaine.edu/cs/,183,31,121,CS,Computing & Info Science,No,
University of Maryland—​Baltimore County  ,2.4,70,https://www.csee.umbc.edu/,159,36,122,CSEE,Engineering & Info Science,Outside,affiliated not included; we manually selected CS faculty
University of Maryland—​College Park  ,4,15,https://www.cs.umd.edu/,60,59,123,CS,Comp&Math&Natural,Outside,affiliated not included
University of Massachusetts—​Amherst  ,3.6,25,https://www.cics.umass.edu/,74,54,124,College Info&CS,Own,No,
University of Massachusetts—​Boston  ,0,0,http://www.cs.umb.edu/,220,24,125,CS,Science & Math,No,
University of Massachusetts—​Lowell  ,0,0,https://www.uml.edu/Sciences/computer-science/,152,37,126,CS,Science,No,
University of Memphis  ,0,0,http://www.memphis.edu/cs/,0,0,127,CS,?,Outside,affiliated not included
University of Michigan—​Ann Arbor  ,4.1,13,https://www.eecs.umich.edu/,27,74,128,EECS,Engineering,No,"EECS department, we manually selected CS faculty"
University of Minnesota—​Twin Cities  ,3.4,29,https://www.cs.umn.edu/,71,55,129,CS,Science&Engineering,No,
University of Mississippi  ,0,0,http://cs.olemiss.edu/,135,40,130,CIS,?,Outside,affiliated not included
University of Missouri  ,2.1,101,http://engineering.missouri.edu/cs/,111,45,131,CS,Engineering,Outside,affiliated not included
University of Missouri—​Kansas City  ,0,0,https://sce.umkc.edu/,210,26,132,CSEE,Computing & Engineering,Outside,affiliated not included; we manually selected CS faculty
University of Nebraska—​Lincoln  ,2.4,70,http://cse.unl.edu/,111,45,133,CSE,Engineering,No,"CSE department with a single faculty list, all of them are CS-related, included all of them"
University of Nebraska—​Omaha  ,0,0,https://www.unomaha.edu/college-of-information-science-and-technology/computer-science/,0,0,134,CS,IST,No,
University of Nevada—​Reno  ,0,0,https://www.unr.edu/cse/,197,28,135,CSE,?,No,"CSE department with a single faculty list, all of them are CS-related, included all of them"
University of New Mexico  ,2.3,82,http://www.cs.unm.edu/,176,32,136,CS,Engineering,Outside,affiliated not included
University of New Orleans  ,0,0,http://www.uno.edu/cos/computer-science/,0,0,137,CS,Science,No,
University of North Carolina—​Chapel Hill  ,3.6,25,http://cs.unc.edu/,30,71,138,CS,No,No,
University of North Carolina—​Charlotte  ,2.1,101,http://cs.uncc.edu/,202,27,139,CS,Computing & Informatics,No,
University of North Texas  ,0,0,http://computerscience.engineering.unt.edu/,0,0,140,CSE,?,No,"CSE department with a single faculty list, all of them are CS-related, included all of them"
University of Notre Dame  ,2.7,60,https://cse.nd.edu/,15,85,141,CSE,Engineering,Outside,"affiliated not included; CSE department, only one non CS faculty (CMOS) excluded"
University of Oklahoma  ,2,112,http://www.ou.edu/content/coe/cs/,111,45,142,CS,Engineering,No,
University of Oregon  ,2.6,63,https://cs.uoregon.edu/,103,47,143,CS,?,No,
University of Pennsylvania  ,3.8,19,https://www.cis.upenn.edu/index.php,8,92,144,CS,Engineering,Outside,affiliated not included
University of Pittsburgh  ,2.9,52,https://cs.pitt.edu/people/,68,57,145,CS,School of Computing & Information,No,
University of Rochester  ,2.9,52,http://www.cs.rochester.edu/,32,68,146,CS,Engineering and Applied Sci,Outside,affiliated not included
University of South Carolina  ,2.1,101,https://www.sc.edu/study/colleges_schools/engineering_and_computing/study/areas_of_study/computer_science_and_engineering/,107,46,147,CSE,Engineering & Computing,No,"CSE department with a single faculty list, all of them are CS-related, included all of them"
University of South Florida  ,2.1,101,http://www.usf.edu/engineering/cse/research/index.aspx,159,36,148,CSE,Engineering,Outside,"affiliated not included; CSE department with a single faculty list, all of them are CS-related, included all of them"
University of Southern California  ,3.7,20,http://www.cs.usc.edu/,23,77,149,CS,Engineering,Outside,affiliated not included
University of Southern Mississippi  ,0,0,https://www.usm.edu/computing/welcome-computer-science,220,24,150,Computing,Computing,No,
University of Tennessee—​Knoxville  ,2.4,70,https://www.eecs.utk.edu/,103,47,151,EECS,Engineering,No,"EECS department, we manually selected CS faculty"
University of Texas—​Arlington  ,2.2,90,https://cse.uta.edu/,0,0,152,CSE,Engineering,No,"EECS department, we manually selected CS faculty"
University of Texas—​Austin  ,4.3,9,https://www.cs.utexas.edu/,56,60,153,CS,Natural Sciences,No,
University of Texas—​Dallas  ,2.4,70,http://cs.utdallas.edu/,46,38,154,CS,Engineering,No,
University of Texas—​El Paso  ,0,0,http://www.cs.utep.edu/,0,0,155,CS,?,Outside,affiliated not included
University of Texas—​San Antonio  ,0,0,http://www.cs.utsa.edu/,0,0,156,CS,?,Outside,affiliated not included
University of Tulsa  ,0,0,https://utulsa.edu/department/computer-science,86,51,157,CS,Engineering & Natural Science,No,
University of Utah  ,3.1,40,http://www.cs.utah.edu/,111,45,158,School of Computing,Own,No,
University of Virginia  ,3.4,29,http://www.cs.virginia.edu/,24,75,159,CS,Engineering,"Outside + Within, clearly annotated","included all within primary faculty list, excluded those outside"
University of Washington  ,4.5,6,https://www.cs.washington.edu/,54,61,160,CS,CS & Engineering,Outside,affiliated not included
University of Wisconsin—​Madison  ,4.2,11,https://www.cs.wisc.edu/,44,63,161,CS,Letters&Science,Outside,affiliated not included
University of Wisconsin—​Milwaukee  ,0,0,https://uwm.edu/engineering/academics-2/departments/computer-science/,0,0,162,CS,Engineering & Applied Science,No,
University of Wyoming  ,0,0,http://www.uwyo.edu/cosc/,171,33,163,CS,Engineering & Applied Science,No,
Utah State University  ,0,0,http://www.cs.usu.edu/,220,24,164,CS,?,No,
Vanderbilt University  ,2.8,56,https://engineering.vanderbilt.edu/eecs/,15,85,165,EECS,Engineering,Outside,"affiliated not included; EECS department, we manually selected CS faculty"
Virginia Commonwealth University  ,0,0,https://egr.vcu.edu/departments/computer/,164,35,166,CS,Engineering,No,
Virginia Tech  ,3.1,40,https://www.cs.vt.edu/,74,54,167,CS,Engineering,No,
Washington State University  ,2.4,70,https://school.eecs.wsu.edu/,143,39,169,EECS,Own,No,"EECS department, we manually selected CS faculty"
Washington University in St. Louis  ,3.1,40,https://cse.wustl.edu/Pages/default.aspx,19,84,170,CSE,Engineering and Applied Sci,Outside,26 'collaborating' faculty -- we did not include them
Wayne State University  ,2,112,http://engineering.wayne.edu/cs/,0,0,171,CS,Engineering,No,
West Virginia University  ,2,112,http://lcsee.statler.wvu.edu/,183,31,172,CSEE,Engineering,No,"CSEE department, we manually selected CS faculty"
Western Michigan University  ,0,0,https://wmich.edu/cs,194,29,173,CS,?,No,
Worcester Polytechnic Institute  ,2.2,90,https://www.wpi.edu/academics/departments/computer-science,60,59,174,CS,?,Within,affiliated included
Yale University  ,3.7,20,http://cpsc.yale.edu/,3,97,175,CS,No,Outside,affiliated not included
