"","University.Name","CS.Score","CS.rank","Web","University.Rank","University.Score","ID","Department","College","Affiliated","Comments.about.inclusion","total_citations"
"96","University of California San Diego",4,15,"http://www.cs.ucsd.edu/",44,63,97,"CSE","Engineering","Within, clearly annotated","affiliated included; CSE department with a single faculty list,excluded a few VLSI faculty",699033
"97","University of California Santa Barbara",3.3,34,"https://www.cs.ucsb.edu/",37,65,98,"CS","Engineering","Outside","affiliated not included",369538
"98","University of California Santa Cruz",2.8,56,"https://www.soe.ucsc.edu/departments/computer-science/",79,53,99,"CS","Engineering","No","",88991
"99","University of Central Florida",2.2,90,"http://www.cs.ucf.edu/",176,32,100,"CS","?","Within","affiliated included",152685
"100","University of Chicago",3.3,34,"https://www.cs.uchicago.edu/",3,97,101,"CS","No","Within, clearly annotated","affiliated included, including listed faculty from Toyota Technological Institute",263625
"101","University of Cincinnati",2,112,"http://eecs.ceas.uc.edu/",135,40,102,"EE and Computing Systems","Engineering & CS","No","we manually selected CS faclulty from the list",13137
"102","University of Colorado Boulder",3.1,40,"http://www.colorado.edu/cs/",92,50,103,"CS","Engineering and Applied Sci","Outside","affiliated not included",123503
"103","University of Colorado Colorado Springs",0,0,"https://www.uccs.edu/~cs/",39,43,104,"CS","?","No","",9673
"104","University of Colorado Denver",0,0,"http://www.ucdenver.edu/academics/colleges/Engineering/Programs/Computer-Science-and-Engineering/Pages/ComputerScienceEngineering.aspx",197,28,105,"CSE","Engineering & Applied Science","No","CSE department with a single faculty list, all of them are CS-related, included all of them",2988
"105","University of Connecticut",2.3,82,"http://www.cse.uconn.edu/",60,59,106,"CSE","Engineering","No","CSE department with a single faculty list, all of them are CS-related, included all of them",44267
"106","University of Delaware",2.4,70,"http://www.cis.udel.edu/",79,53,107,"CIS","Engineering","No","",58452
"107","University of Denver",0,0,"https://ritchieschool.du.edu/departments/computer-science/",86,51,108,"CS","Engineering & CS","Outside","affiliated not included",7280
"108","University of Florida",3,48,"https://www.cise.ufl.edu/",50,62,109,"CISE","Engineering","No","CISE department with a single faculty list, all of them are CS-related, included all of them",102406
"109","University of Georgia",2.2,90,"http://www.cs.uga.edu/",56,60,110,"CS","Arts&Sciences","No","",58135
"110","University of Hawaii Manoa",0,0,"http://www.ics.hawaii.edu/",169,34,111,"ICS","?","No","included computer science faculty",21420
"111","University of Houston",2.1,101,"http://www.uh.edu/nsm/computer-science/",194,29,112,"CS","Natural Sciences & Applied Mathmatics","Outside","affiliated not included",63319
